ID,jméno,pozice,tým,kategorie,číslo
FIN-BAR-16,Aleksander Barkov,Ú,Florida Panthers,A,16
FIN-LUN-15,Anton Lundell,Ú,Florida Panthers,A,15
FIN-TER-86,Teuvo Teräväinen,Ú,Chicago Blackhawks,A,86
FIN-KOR-70,Joonas Korpisalo,B,Boston Bruins,B,70
FIN-JOK-10,Henri Jokiharju,O,Boston Bruins,B,10
FIN-VAA-58,Urho Vaakanainen,O,New York Rangers,B,58
FIN-MAA-03,Olli Määttä,O,Calgary Flames,B,3
FIN-MAT-33,Nikolas Matinpalo,O,Ottawa Senators,B,33
FIN-PUL-13,Jesse Puljujärvi,Ú,Ženeva-Servette HC,B,13
FIN-RÄT-34,Aatu Räty,Ú,Vancouver Canucks,B,34
FIN-HÄM-92,Lenni Hämeenaho,Ú,New Jersey Devils,B,92
FIN-HEI-41,Ville Heinola,O,Winnipeg Jets,C,41
FIN-LEH-04,Mikko Lehtonen,O,ZSC Lions,C,4
FIN-ANN-31,Justus Annunen,B,Nashville Predators,C,31
FIN-MAN-65,Sakari Manninen,Ú,Ženeva-Servette HC,C,65
FIN-MÄE-80,Saku Mäenalanen,Ú,SCL Tigers,C,80
FIN-BJÖ-24,Hannes Björninen,Ú,SCL Tigers,C,24
FIN-MER-19,Waltteri Merelä,Ú,SC Bern,C,19
FIN-SÄT-29,Harri Säteri,B,EHC Biel,D,29
FIN-PUI-21,Patrik Puistola,Ú,Örebro HK,D,21
FIN-KUO-27,Janne Kuokkanen,Ú,Malmö Redhawks,D,27
FIN-PÄI-23,Sami Päivärinta,Ú,HPK Hämeenlinna,D,23
FIN-ERH-37,Eemil Erholtz,Ú,Oulun Kärpät,D,37
FIN-SAA-18,Vili Saarijärvi,O,Ženeva-Servette HC,D,18
FIN-SEP-55,Mikael Seppälä,O,HC Sparta Praha,D,55
